Unnamed: 0,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
398,11,4,trig,0.666383802,0.02138062,CMA-ES
399,16,4,trig,0.470049921,0.012106627,CMA-ES
400,8,4,trig,0.586742453,0.018056333,CMA-ES
401,12,4,trig,0.575108174,0.014410933,CMA-ES
402,9,4,trig,0.157545743,0.02091723,CMA-ES
403,13,4,trig,0.324767408,0.014081533,CMA-ES
404,15,4,trig,0.745958007,0.017311732,CMA-ES
405,10,4,trig,0.180773784,0.025994277,CMA-ES
406,14,4,trig,0.57289165,0.019525579,CMA-ES
407,11,4,trig,0.403393359,0.014731342,CMA-ES
408,13,4,trig,0.447383681,0.008172182,CMA-ES
409,18,4,trig,0.571837124,0.019938297,CMA-ES
410,8,4,trig,0.243440989,0.021441162,CMA-ES
