Unnamed: 0,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
114,11,2,Trig,0.264544255,0.013244456,CMA-ES
115,8,2,Trig,0.722801164,0.008098125,CMA-ES
116,14,2,Trig,0.205231707,0.030955502,CMA-ES
117,17,2,Trig,0.908495265,0.033783352,CMA-ES
118,9,2,Trig,0.209828753,0.02347268,CMA-ES
119,8,2,Trig,0.817460682,0.027339399,CMA-ES
120,8,2,Trig,0.381635294,0.019327134,CMA-ES
121,11,2,Trig,0.19358971,0.026272839,CMA-ES
122,16,2,Trig,0.784982333,0.019770056,CMA-ES
123,7,2,Trig,0.385888007,0.012896674,CMA-ES
124,13,2,Trig,0.110857156,0.012784151,CMA-ES
125,5,2,Trig,0.233011298,0.022325611,CMA-ES
126,11,2,Trig,0.450197543,0.012220079,CMA-ES
127,6,2,Trig,0.056436654,0.017369986,CMA-ES
128,13,2,Trig,0.186737893,0.021740382,CMA-ES
129,10,2,Trig,0.250561991,0.006560206,CMA-ES
130,12,2,Trig,0.300016658,0.017251909,CMA-ES
131,5,2,Trig,0.406188219,0.020462227,CMA-ES
132,7,2,Trig,0.18453283,0.010514021,CMA-ES
133,7,2,Trig,0.698497563,0.024563994,CMA-ES
134,16,2,Trig,0.480506788,0.021321252,CMA-ES
135,13,2,Trig,0.246977391,0.025982838,CMA-ES
136,9,2,power,0.273763109,0.171415011,L-BFGS-B
137,13,2,power,0.405814234,0.173665322,L-BFGS-B
138,12,2,power,1.026406583,0.206633826,L-BFGS-B
139,16,2,power,0.960022863,0.13624388,L-BFGS-B
140,14,2,power,0.320597367,0.149181638,L-BFGS-B
141,18,2,power,1.030728613,0.140195555,L-BFGS-B
142,10,2,power,0.78412623,0.217277408,L-BFGS-B
143,19,2,power,0.921988804,0.155441535,L-BFGS-B
144,16,2,power,0.974426427,0.099977046,L-BFGS-B
145,11,2,power,0.494158904,0.089300351,L-BFGS-B
146,11,2,power,0.624941908,0.146610368,L-BFGS-B
147,12,2,power,0.798487878,0.135767221,L-BFGS-B
148,17,2,power,0.538066494,0.171262292,L-BFGS-B
149,10,2,power,0.031731797,0.190399504,L-BFGS-B
