,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
264,8,2,linear,1,0.731820732,Bayes_s
265,12,2,linear,1,0.473518511,Bayes_s
266,9,2,linear,1,0.672497696,Bayes_s
267,16,2,linear,1,0.321813077,Bayes_s
268,14,2,linear,1,0.378627777,Bayes_s
269,13,2,linear,1,0.422900768,Bayes_s
270,20,2,linear,1,0.239171004,Bayes_s
271,8,2,linear,1,0.748395354,Bayes_s
272,12,2,linear,1,0.461478174,Bayes_s
273,12,2,linear,1,0.48968933,Bayes_s
274,20,2,linear,1,0.249575901,Bayes_s
275,12,2,linear,1,0.467182656,Bayes_s
276,19,2,linear,1,0.2633798,Bayes_s
277,8,2,linear,1,0.728683919,Bayes_s
278,12,2,linear,1,0.468892018,Bayes_s
279,8,2,linear,1,0.741554767,Bayes_s
280,10,2,linear,1,0.580152822,Bayes_s
281,19,4,trig,0.6898364069759370,0.27845662518551500,Bayes_s
282,13,4,trig,0.6898364069759370,0.5061566829681400,Bayes_s
283,17,4,trig,0.6898364069759370,0.37078529245713200,Bayes_s
284,10,4,trig,0.6898364069759370,0.8474857091903690,Bayes_s
285,14,4,trig,0.6898364069759370,0.4735868658338270,Bayes_s
286,14,4,trig,0.6898364069759370,0.47939298834119500,Bayes_s
287,10,4,trig,0.6898364069759370,0.7966503858566280,Bayes_s
288,14,4,trig,0.6898364069759370,0.5035884380340580,Bayes_s
289,14,4,trig,0.6898364069759370,0.49587135655539400,Bayes_s
290,9,4,trig,0.6898364069759370,0.8788290023803710,Bayes_s
291,10,4,trig,0.6898364069759370,0.8069057941436770,Bayes_s
292,17,4,trig,0.6898364069759370,0.3735332348767450,Bayes_s
293,14,4,trig,0.6898364069759370,0.48307836055755600,Bayes_s
294,13,4,trig,0.6898364069759370,0.5737686157226560,Bayes_s
295,13,4,trig,0.6898364069759370,0.5779578502361590,Bayes_s
296,14,4,trig,0.6898364069759370,0.5117441415786740,Bayes_s
297,11,4,trig,0.6898364069759370,0.843508547002619,Bayes_s
298,11,4,trig,0.6898364069759370,0.9896522652019150,Bayes_s
299,10,4,trig,0.6898364069759370,0.7779891967773440,Bayes_s
300,5,4,trig,0.6898364069759370,1.7563512325286900,Bayes_s
301,14,4,trig,0.6898364069759370,0.5041541542325700,Bayes_s
302,11,4,trig,0.6898364069759370,0.7936959049918440,Bayes_s
303,18,4,trig,0.6898364069759370,0.38154583507114000,Bayes_s
304,17,4,trig,0.6898364069759370,0.37220123234917100,Bayes_s
305,14,4,trig,0.6898364069759370,0.4822413410459250,Bayes_s
306,17,4,trig,0.6898364069759370,0.37526677636539200,Bayes_s
307,17,4,trig,0.6898364069759370,0.3768646997563980,Bayes_s
308,17,4,trig,0.6898364069759370,0.378188596052282,Bayes_s
309,11,4,trig,0.6898364069759370,0.8107310858639800,Bayes_s
310,13,4,trig,0.6898364069759370,0.5541004584385800,Bayes_s
311,17,4,trig,0.6898364069759370,0.4079190001768220,Bayes_s
