,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
146,15,2,linear,0.63,0.0020424938201904300,Bayes_s
147,16,2,linear,0.655,0.0019480609893798800,Bayes_s
148,22,2,linear,0.815,0.0025023221969604500,Bayes_s
149,20,2,linear,0.685,0.002634272575378420,Bayes_s
150,14,2,linear,0.605,0.0016997814178466800,Bayes_s
151,23,2,linear,0.63,0.002470126152038570,Bayes_s
152,15,2,linear,0.595,0.002619624137878420,Bayes_s
153,17,2,linear,0.42,0.003563594818115230,Bayes_s
154,23,2,linear,0.91,0.0022165393829345700,Bayes_s
155,24,2,linear,0.655,0.0026927995681762700,Bayes_s
156,19,2,linear,0.73,0.0027704620361328100,Bayes_s
157,17,2,linear,0.79,0.002359166145324710,Bayes_s
158,20,2,linear,0.72,0.002042679786682130,Bayes_s
159,21,2,linear,0.86,0.003118739128112790,Bayes_s
160,16,2,linear,0.965,0.0025641632080078100,Bayes_s
161,23,2,linear,0.65,0.003120427131652830,Bayes_s
162,25,2,linear,0.84,0.0031099796295166000,Bayes_s
163,24,2,linear,0.735,0.0026281595230102500,Bayes_s
164,22,2,linear,0.825,0.003568081855773930,Bayes_s
165,24,2,linear,0.57,0.002883176803588870,Bayes_s
166,23,2,linear,0.825,0.002224020957946780,Bayes_s
167,23,2,linear,0.8,0.0022351789474487300,Bayes_s
168,21,2,linear,0.475,0.0023886632919311500,Bayes_s
169,24,2,linear,0.51,0.0016162633895874000,Bayes_s
170,23,2,linear,0.57,0.00276458740234375,Bayes_s
171,17,2,linear,0.715,0.0032676410675048800,Bayes_s
172,25,2,linear,0.62,0.002074861526489260,Bayes_s
173,15,2,linear,0.77,0.002934885025024410,Bayes_s
174,16,2,linear,0.835,0.0025654029846191400,Bayes_s
175,15,2,linear,0.91,0.0019489622116088900,Bayes_s
176,17,2,linear,0.7,0.0019247770309448200,Bayes_s
177,21,2,linear,0.855,0.0027167034149169900,Bayes_s
178,16,2,linear,0.71,0.003214259147644040,Bayes_s
179,22,2,trig,0.13227614195469100,0.0027888154983520500,Bayes_s
180,20,2,trig,0.07557161037549780,0.0032852363586425800,Bayes_s
181,19,2,trig,0.11123407647562100,0.0031460809707641600,Bayes_s
182,20,2,trig,0.12105082992059000,0.0029839229583740200,Bayes_s
183,23,2,trig,0.3454224132494690,0.002581496238708500,Bayes_s
184,23,2,trig,0.1668717688501860,0.0037748384475708000,Bayes_s
185,19,2,trig,0.05195162102252110,0.0024077606201171900,Bayes_s
186,18,2,trig,1.00000000000072,0.0031037378311157200,Bayes_s
